Teacher Name;University Currently Teaching;Department;Province University Located;Designation;Terminal Degree;Graduated from;Country;Year;Area of Specialization/Research Interests;Other Information
Atiya Shoaib;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Assistant Professor;;;;;;
Sadaf Riaz;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Assistant Professor;;;;;;
Engr. Adil Israr;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Assistant Professor;;;;;;
Engr. Saeed Ahmed Magsi;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Assistant Professor;;;;;;
Engr. Saeed Ahmed Magsi;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Assistant Professor;;;;;;
Engr. Atifullah Khan;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Assistant Professor;;;;;;
Engr. Paend Bakht;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Assistant Professor;;;;;;
Engr. Waheeda Jabbar;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Irfan Ahmed Magsi;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Muhammad Bux;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Akbar Khan;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Malgharara Kakar;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Masooma Meer;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Muhammad Shoaib Ali;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Kalsoom Baloch;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Adnan Ali;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Shafiullah;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Mohammad Zia Javed;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Mohammad Waleed Raza;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
