,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
84,Engr. Rabia Qadar,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
85,Engr. Ishtiaq Ahmed,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
86,Engr. Attiq Ur Rehman,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
87,Engr. Syed Owais Athar,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
88,Mohammad Imran,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
89,Babar Ali,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
90,Lubna Ayub,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
91,Muhammad Akram,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
92,Ayesha Enayat,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
93,Azam Khan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
94,Abdul Ali,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
95,Mohammad rahim Shah,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
96,Syed Asad Ullah,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
97,Muhammad Anas,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
98,Khawar Abbas,University of Loralai,Computer Science,Balochistan,Lecturer,MS,,,,,
99,Masood Ahmed,University of Loralai,Computer Science,Balochistan,Lecturer,MS,,,,,
