,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
0,Dr. Ihsan Ullah,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,,France,,"P2P Networks, Telecommunication Systems",
1,Dr. Atiq Ahmed,University of Balochistan,Computer Science & IT,Balochistan,Associate Professor,PhD,,France,,"Wireless Networks, Telecommunication Systems, Multi-agent Systems",
2,Dr. Abdul Basit,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,Software Engineering & DBMS,
3,Mr. Muhammad Khalid Badini,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,MS,,,,Operating System & DBMS,On study leave
4,Dr. Waheed Noor,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,DBMS,
5,Dr. Junaid Baber,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,"Information processing, Multimedia mining",
6,Dr. Maheen Bakhtyar,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,"NLP, Information Retrieval, Question Answering system",
7,Mr. Syed Amjad Hussain,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,M.Sc,,,,"Automata Theory, Data Structure & Programming languages",
8,Mr. Syed Muhammad Zubair,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,MS,,,,"Object Oriented Programming, Network Security",PhD in progress
9,Dr. Altaf Hussain Bouk,University of Balochistan,Computer Science & IT,Balochistan,Professor,PhD,,Italy,,"Optical Fiber, Telecommunication System",
10,Dr. Muhammad Shumail,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,PhD,,Pakistan,,Computation Theory,
11,Mr. Jalaluddin,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,Mphil,,,,Statistics & Computer Architecture,
12,Dr. Liaquat,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,PhD,,Germany,,"DBMS, Data Mining",
13,Ms.Tayyaba Noreen,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,M.Com,,,,"Enterpreneurship, Financial Accounting",On Leave
14,Mr. Muhammad Raza,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,MCS,,,,"Networking, .Net, Operating System",On Leave
15,Engr. Anwar Ali Sanjrani,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,B.E,,,,"Artificial Intelligence, Operating System",
16,Ms. Shafaque Saira Malik,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,MCS,,,,Assembly Language,
17,Mr. Imran Ali,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,MCS,,,,Software Engineering,On Leave
18,Mr. Muhammad Sajid,University of Balochistan,Computer Science & IT,Balochistan,Lab Administrator,MPhil,,,,,
19,Mr. Imam Dad,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,BS,,,,,
20,Ms. Fatima Tariq,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,,,,,,
21,Mr. Muhammad Saeed Hussain,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,,,,,,
22,Mr. Muhammad Asfand Yar Khan,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,,,,,,
23,Mr. Azam Khan,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,,,,,,
24,Samina Azim,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,"Balochistan University of Information Technology, Engineering and Management Sciences",Pakistan,2005.0,VLSI Electronics DLD Database,
25,Nausheed Saeed,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,MCS,University of Balochistan,Pakistan,2008.0,"Software Engineering, Computer Networks.",
26,Shumaila Hussain,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,MS,"Balochistan University of Information Technology, Engineering and Management Sciences",Pakistan,2011.0,"Human computer Interaction, Web Development, Software Engineering, Networking",
27,Mirfa Manzoor,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,Sardar Bahadur Khan Women's University,Pakistan,2009.0,"Human Computer Interaction, Web",
28,Saira Mujahid,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,Sardar Bahadur Khan Women's University,Pakistan,2009.0,JAVA Programming,
29,Arifa Anwar,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,Sardar Bahadur Khan Women's University,Pakistan,2009.0,Programming,
30,Dr. Engr. Jan Muhammad ,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Associate Professor,,,,,,
31,Dr. Zahid Rauf,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Associate Professor,,,,,,
32,Engr. Shahrukh Rayaz ,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
33,Siraj un Muneer,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
34,Engr. Hamid Karim,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
35,Engr. Mohammad Junaid,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
36,Engr. Sara Ayub,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
37,Engr. Arsalan ul Haq,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
38,Engr. Muhammad Aadil Siddiqui,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
39,Engr. Muhammad Arif,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
40,Abdul Rehman,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
41,Engr. Raza Ali,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
42,Muhammad Junaid Khan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
43,Amir Shahzad,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
44,Engr. Zubair Zaland,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
45,Atiya Shoaib,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
46,Sadaf Riaz,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
47,Engr. Adil Israr,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
48,Engr. Saeed Ahmed Magsi,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
49,Engr. Saeed Ahmed Magsi,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
50,Engr. Atifullah Khan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
51,Engr. Paend Bakht,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
52,Engr. Waheeda Jabbar,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
53,Irfan Ahmed Magsi,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
54,Engr. Muhammad Bux,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
55,Engr. Akbar Khan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
56,Engr. Malgharara Kakar,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
57,Masooma Meer,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
58,Engr. Muhammad Shoaib Ali,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
59,Engr. Kalsoom Baloch,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
60,Engr. Adnan Ali,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
61,Engr. Shafiullah,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
62,Engr. Mohammad Zia Javed,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
63,Engr. Mohammad Waleed Raza,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
64,Fazal Mohammad,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
65,Ayesha Abdul Majeed,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
66,Syed Mohammad Junaid Hassan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
67,Abdullah Khan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
68,Syed Umair Shah,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
69,Yahya Jan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
70,Mohammad Luqman Khan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
71,Rabia Athar,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
72,Syed Shah Zaman,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
73,Mohammad Shakeel,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
74,Waleed Hasni,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
75,Engr. Syed Usman,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
76,Ayesha Iftikhar,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
77,Engr. Mehrullah Soomroo,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
78,Engr. Taqia Manzoor,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
79,Kanza Ali,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
80,Pooma Panezai,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
81,Engr. Muhammad Ayub,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
82,Engr. Muzamil Hussain,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
83,Engr. Shiekh Mir Ahmed,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
