,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
136,Abdul Wahid,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,Kyungpook National University,South Korea,,"Vehicular Ad-hoc Network, Wireless Sensor Network, Underwater Wireless Sensor Network, Cyber Physical Systems, Software defined Networking, Information-centric Networking.",
137,Farhana Jabeen,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,The University of Manchester,UK,2011.0,"query processing in wireless sensor network, distributed spatial analysis, distributed computing using ad hoc wireless networks.",
138,Zara Hamid,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,,Wireless Sensor Networks. She is interested in the design and performance evaluation of communication protocols for wireless ad hoc and sensor networks. She is also interested in Information Centric Networks.,
139,Inayat-ur-Rehman,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,,,," Computer Assisted Education, Designing learning tools, Computer Animations for Learning, Role of Human Computer in designing learning tools, cognitive learning and use of Educational Psychology for e-learning applications",
140,Mukhtar Azeem,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,Embedded System Programming and Real-time Systems,
141,Omer Vikas,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,"Artificial Intelligence, Information System Management and E-Commerce.",
142,Salman Aslam,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
143,Umar Nauman,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,"Artificial Intelligence, Data Mining, Machine Learning, Software Engineering, Requirement Engineering.",
144,Ghufran Ahmed,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,Capital University of Science & Technology,Pakistan,2013.0,routing issues on Wireless Sensor Networks or Wireless Body Area Networks.,
145,Ch.Anwar Shaukat,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
146,Azfar Shakeel,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,2011.0, Computer Security and Application of Cellular Automata.,
147,Muzaffar Iqbal,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Masters,Gomal University,Pakistan,,"Object Oriented Programming, Visual Programming, Software Project Management and Model Transformation.",
148,Muhammad Rashid Mukhtar,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,Software Project Management and Software Engineering.,
149,Assad Abbas,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,North Dakota State University,USA,2016.0,"Smart Health, Big Data Analytics, Recommendation Systems, Patent Analysis, and Social Network Analysis",
