,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
450,Mr. Sikandar Hayat,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,"Bahria University,Islamabad",Pakistan,2015.0,,
451,Mr. Basma Batool Khan,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,"Bahria University,Islamabad",Pakistan,2016.0,,MS in progress from Bahria University
452,Mrs. Maryam Bibi,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,"Bahria University,Islamabad",Pakistan,2016.0,Image Processing,
453,Prof. Dr. Muhammad Abdul Qadir,Capital University of Science and Technology,Computer Science,Capital,Professor/Dean,PhD,Guildford,UK,1995.0,"Semantic Computing: Semantic Digital Libraries, Ontology evaluation, Ontology mapping and merging, Semantic Cache Query Processing, Semantic Extraction from Multimedia Objects, Semantic Search Engines, Semantic based Learning Systems, Semantic based Query Refinement for WWW, Deep Web Mining Distributed Computing: Networks (IP and Transport Services), Bandwidth Aggregation for Heterogeneous Networks, Fault Tolerance Cryptography and Cryptanalysis, Algorithms, Bioinformatics ",
454,Dr. Nayyer Masood,Capital University of Science and Technology,Computer Science,Capital,Professor/HoD,PhD,University of Bradford,UK,1999.0,"Multidatabase Systems Schema Translation, Schema Evolution, Schema Integration, Data Integration, Data Mining",
455,Dr. Muhammad Tanvir Afzal,Capital University of Science and Technology,Computer Science,Capital,Associate Professor,PhD,Graz University of Technology,Austria,2010.0,Digital Libraries; Web/Text Mining; Semantic Web; Information Visualization,
456,Dr. Muhammad Azhar Iqbal,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,PhD,"Huazhong University of Science and Technology (HUST), Wuhan",China,2012.0,"Wireless Ad Hoc Networks, development and evaluation of Network Coding Aware and Network Coding Based routing protocols suitable to highly dynamic and delay tolerant networks",
457,Dr. Muhammad Aleem,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,PhD,University of Innsbruck,Austria,2012.0,Parallel and distributed computing. Parallel programming environments for multi-/many-core shared and distributed memory parallel computers. Run-time environments and scheduling mechanisms for parallel machines based on multi-cores. Performance analysis of parallel applications.,
458,Dr. Muhammad Arshad  Islam,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,PhD,University of Konstanz,Germany,2011.0,Routing in Mobile Ad hoc Networks Social Network Analysis Application of Graph Theory,
459,Shahzad Rafique ,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,2004.0,"Software & System Engineering, Computational Intelligence (Soft Computing), Agents and Multi Agent Systems, Autonomous Systems, Component Based Development",
